Country,Fertility Rate (2022),Education Index,GDP IMF,GDP World Bank,GDP United Nations,Average GDP,Population,Working Age Population [15-64] (%),M/F Ratio [15-24],M/F Ratio [25-54],Emergency Contraception [OTC]
Niger,6.6,0.214,613,591,591,598,24112753,46.74 ,0.97,0.93,Y
Mali,5.5,0.293,889,874,875,879,22594000,49.29 ,0.91,0.85,Y
Chad,5.4,0.298,667,686,955,769,16818391,50.14 ,1.01,0.93,Y
Angola,5.2,0.498,3204,1954,2258,2472,33086278,50.13 ,0.95,0.91,N
Burundi,5.1,0.424,249,222,311,261,12574571,53.11 ,1.00,0.98,Y
Nigeria,5.1,0.483,2280,2066,2019,2122,218541000,55 ,1.03,1.00,Y
Burkina Faso,4.9,0.286,900,893,893,895,22185654,53.26 ,1.01,0.87,Y
Tanzania,4.7,0.441,1348,1099,1136,1194,61741120,54.22 ,1.01,1.01,N
Mozambique,4.6,0.385,587,492,492,524,32419747,51.5 ,1.00,0.87,Y
Benin,4.6,0.471,1390,1319,1361,1357,12506347,52.05 ,0.99,0.90,Y
Central African Republic,4.4,0.341,534,461,461,485,5633412,57.16 ,1.01,1.00,N
Ivory Coast,4.4,0.424,2646,2549,2539,2578,29389150,58.62 ,1.00,1.03,Y
Zambia,4.4,0.580,1423,1137,1095,1218,19610769,51.99 ,1.00,1.01,Y
Senegal,4.4,0.368,1719,1637,1637,1664,17223497,56.52 ,0.99,0.86,N
Mauritania,4.3,0.389,2475,2166,2166,2269,4271197,58.52 ,0.96,0.87,Y
Cameroon,4.3,0.547,1699,1667,1668,1678,24348251,54.55 ,1.01,0.97,Y
Comoros,4.0,0.473,1360,1578,1631,1523,758316,59.24 ,0.94,0.90,N
Afghanistan,3.9,0.415,611,369,373,451,32890171,56.7 ,1.03,1.03,N
Sierra Leone,3.9,0.390,415,480,505,467,8494260,54.92 ,0.96,0.92,N
Ethiopia,3.9,0.327,1475,925,825,1075,105163988,56.81 ,1.00,0.99,Y
Malawi,3.9,0.451,496,635,613,581,21507723,51.45 ,0.98,0.99,Y
Madagascar,3.9,0.498,536,501,500,512,26923353,57.67 ,1.01,1.00,Y
Rwanda,3.8,0.450,970,822,822,871,13246394,57.4 ,1.01,0.91,N
Gabon,3.8,0.628,9294,8635,7911,8613,2233272,59.57 ,1.09,1.15,Y
Ghana,3.7,0.558,2024,2363,2409,2265,30832019,58.12 ,0.99,0.94,Y
Vanuatu,3.6,0.529,3188,2997,3073,3086,301295,61.96 ,0.98,0.95,Y
Tajikistan,3.4,0.659,1277,897,897,1024,9506000,64.94 ,1.03,0.99,Y
Pakistan,3.3,0.411,1658,1505,1480,1548,235825000,59.55 ,1.05,1.05,Y
Kenya,3.3,0.551,2269,2082,2082,2144,47564296,58.22 ,1.00,1.00,Y
Egypt,3.2,0.604,3644,3699,3898,3747,104676436,61.94 ,1.07,1.03,N
Lesotho,3.0,0.502,1208,1094,1040,1114,2306000,63.1 ,0.92,0.95,N
Israel,3.0,0.874,55535,52171,54111,53939,9704960,61.28 ,1.04,1.04,Y
Kyrgyzstan,2.8,0.735,1736,1277,1339,1451,7000000,63.81 ,1.03,0.97,N
Algeria,2.8,0.664,4481,3691,3700,3957,45400000,64.25 ,1.05,1.03,Y
Botswana,2.7,0.659,7270,6805,6805,6960,2410338,63.9 ,0.97,0.90,Y
Guatemala,2.7,0.514,5358,5026,4883,5089,17109746,61.62 ,1.01,0.96,Y
Kazakhstan,2.6,0.814,12306,10374,10055,10912,19834492,65.44 ,1.04,0.97,N
Oman,2.6,0.706,21960,19510,19509,20326,4527446,66.17 ,1.11,1.33,N
Bolivia,2.6,0.687,3800,3345,3345,3497,12006031,63.95 ,1.03,0.97,Y
Jordan,2.6,0.711,5048,4103,4058,4403,11449416,63.28 ,1.11,1.18,N
Djibouti,2.5,0.309,3802,3150,3348,3433,1001454,66.06 ,0.89,0.71,Y
Laos,2.5,0.484,1858,2536,2569,2321,7337783,64.62 ,0.99,0.98,Y
Cambodia,2.4,0.487,1896,1625,1608,1710,15552211,65.23 ,0.99,0.96,N
Guyana,2.4,0.596,20539,9999,9999,13512,743699,69.08 ,1.04,1.10,Y
Uzbekistan,2.3,0.718,2562,1983,2032,2192,36158044,70.94 ,1.05,0.99,Y
Honduras,2.3,0.502,3278,2772,2772,2941,9546178,64.4 ,1.00,0.90,Y
Paraguay,2.3,0.631,5667,5892,6035,5865,7353038,68.71 ,1.01,1.00,Y
Ecuador,2.3,0.697,6642,5965,5965,6191,18203704,66.03 ,1.04,0.96,Y
Suriname,2.3,0.636,5556,4869,5259,5228,598000,70.07 ,1.04,1.04,Y
South Africa,2.3,0.708,6485,7055,7055,6865,60604992,65.97 ,0.97,1.02,Y
Morocco,2.3,0.529,3748,3795,3853,3799,36922254,65.85 ,1.01,0.97,Y
Dominican Republic,2.2,0.643,11308,8477,8477,9421,10535535,66.86 ,1.03,1.04,Y
Indonesia,2.2,0.622,5016,4333,4333,4561,275773800,68.31 ,1.04,1.05,Y
Saudi Arabia,2.2,0.787,29922,23186,23186,25431,34110821,71.53 ,1.09,1.52,N
Belize,2.2,0.705,7017,6228,6229,6491,441471,62.9 ,1.07,0.95,Y
Venezuela,2.2,0.741,3640,15976,3965,7860,28302000,66.16 ,1.03,0.99,Y
Argentina,2.2,0.816,13709,10636,10761,11702,46044703,63.85 ,1.05,1.00,Y
Cape Verde,2.2,0.555,4278,3293,3293,3621,563198,66.57 ,1.00,0.95,N
Peru,2.2,0.689,7772,6622,6622,7005,33396698,66.52 ,1.01,0.92,N
India,2.1,0.556,2601,2257,2274,2377,1392329000,66.97 ,1.14,1.07,Y
Libya,2.1,0.616,6763,6357,5791,6304,6812000,62.31 ,1.04,1.09,N
Sri Lanka,2.1,0.749,3362,4014,3918,3765,22181000,66.26 ,1.04,0.97,Y
Tunisia,2.1,0.659,4071,3807,3807,3895,11803588,65.86 ,1.03,0.95,Y
Iran,2.1,0.741,4251,4091,6766,5036,86345725,70.02 ,1.05,1.04,Y
Mexico,2.0,0.678,12673,10046,10046,10922,128665641,66.32 ,1.03,0.94,Y
Kuwait,2.0,0.620,33646,24300,32150,30032,4670713,72.79 ,1.21,1.69,N
Lebanon,2.0,0.637,3589,4136,6785,4837,5490000,71.29 ,1.04,1.03,N
Georgia,2.0,0.845,7600,5023,4975,5866,3688600,64.73 ,1.14,0.97,Y
Vietnam,2.0,0.626,4475,3757,3756,3996,99460000,70.48 ,1.09,1.03,Y
Turkey,2.0,0.689,11931,9661,9661,10418,85279553,68.24 ,1.04,1.03,Y
El Salvador,2.0,0.580,5308,4551,4551,4803,6825935,66.57 ,1.03,0.87,Y
Azerbaijan,2.0,0.709,6757,5388,5296,5814,10127145,75.49 ,1.14,0.99,Y
Antigua and Barbuda,2.0,0.676,18244,15781,15246,16424,100772,68.57 ,0.99,0.85,Y
Bangladesh,1.9,0.508,2469,2458,2450,2459,169828911,66.7 ,1.00,0.92,Y
Malaysia,1.9,0.719,13382,11109,11101,11864,32781800,66.3 ,1.03,1.02,Y
Jamaica,1.9,0.690,6282,5184,5184,5550,2727503,65.63 ,1.02,0.94,Y
Uruguay,1.9,0.733,21677,17313,17313,18768,3554915,65.78 ,1.03,0.99,Y
Bahrain,1.9,0.758,28385,26563,26563,27170,1501635,78.19 ,1.31,1.87,N
Bhutan,1.9,0.445,3497,3266,3063,3275,763200,68.88 ,1.04,1.12,Y
Nepal,1.8,0.502,1377,1208,1159,1248,29164578,65.95 ,1.07,0.82,Y
France,1.8,0.840,44408,43659,44229,44099,68042591,61.18 ,1.05,1.02,Y
Qatar,1.8,0.698,83891,66838,66799,72509,2799202,85.97 ,2.42,5.01,N
Maldives,1.8,0.560,17626,10366,10366,12786,383135,73.06 ,1.27,1.19,N
Brunei,1.8,0.704,35103,31449,31449,32667,429999,71.69 ,1.00,0.90,N
Armenia,1.8,0.749,8007,4967,4967,5980,2976800,68.76 ,1.10,0.97,Y
Denmark,1.8,0.920,68827,68008,68037,68291,5932654,63.67 ,1.05,1.02,Y
Sweden,1.8,0.904,55395,61029,60730,59051,10521556,61.7 ,1.07,1.03,Y
United States,1.8,0.903,80034,70249,69185,73156,334614000,64.69 ,1.04,1.01,Y
Ireland,1.8,0.918,114581,100172,101109,105287,5123536,65.03 ,1.02,1.01,Y
New Zealand,1.8,0.917,48826,48781,48824,48810,5162117,64.83 ,1.07,1.02,Y
Australia,1.8,0.929,64964,60443,66916,64108,26080820,65.4 ,1.09,0.99,Y
Russia,1.8,0.832,14403,12195,12259,12952,146424729,67.23 ,1.05,0.97,N
Colombia,1.7,0.676,6417,6104,6104,6208,52215503,68.34 ,1.04,0.99,N
Bahamas,1.7,0.726,35458,27478,27478,30138,393450,69.22 ,1.03,1.00,Y
Iceland,1.7,0.912,75180,68728,69133,71014,387758,64.22 ,1.02,1.03,Y
Costa Rica,1.7,0.719,14733,12472,12472,13226,5163038,69.16 ,1.04,1.02,N
Brazil,1.7,0.686,9673,7507,7507,8229,216007989,69.68 ,1.03,0.99,Y
China,1.7,0.644,13721,12556,12437,12905,1411750000,70.37 ,1.17,1.05,Y
United Kingdom,1.7,0.914,46371,46510,46542,46474,67026292,63.89 ,1.05,1.05,Y
Latvia,1.7,0.866,25136,21148,21267,22517,1888200,64.18 ,1.07,1.00,Y
Netherlands,1.7,0.906,61098,57768,57871,58912,17815960,64.07 ,1.04,1.01,Y
Belgium,1.7,0.893,53377,51247,51166,51930,11730564,63.57 ,1.04,1.02,Y
Lithuania,1.7,0.879,28094,23723,23844,25220,2859718,64.29 ,1.07,0.99,Y
Norway,1.7,0.915,101103,89154,89242,93166,5488984,64.61 ,1.05,1.07,Y
Belarus,1.7,0.838,7944,7302,7121,7456,9255524,67.98 ,1.06,0.98,Y
Chile,1.6,0.800,17827,16265,16265,16786,19828563,68.4 ,1.04,1.00,Y
Romania,1.6,0.762,18530,14858,14698,16029,19053815,68.3 ,1.05,1.03,Y
Slovenia,1.6,0.886,32214,29291,29135,30213,2108977,63.93 ,1.08,1.11,Y
Barbados,1.6,0.777,21085,17226,17225,18512,282000,68.94 ,0.98,0.99,Y
Estonia,1.6,0.869,31209,27944,27991,29048,1331796,62.78 ,1.08,1.04,Y
Albania,1.6,0.745,7058,6493,6396,6649,2793592,69.37 ,1.09,0.93,Y
Slovakia,1.6,0.831,23457,21392,21390,22080,5431344,67.82 ,1.05,1.02,Y
Bulgaria,1.6,0.805,14893,12222,12207,13107,6519789,65.5 ,1.08,1.06,Y
Germany,1.6,0.940,51383,51204,51073,51220,84270625,64.12 ,1.04,1.01,Y
Switzerland,1.6,0.897,98767,91992,93525,94761,8812728,65.93 ,1.05,1.00,Y
Austria,1.6,0.852,56802,53638,53840,54760,9106126,66.12 ,1.03,1.00,Y
Hungary,1.5,0.815,19385,18728,18728,18947,9678000,64.77 ,1.07,1.02,N
Thailand,1.5,0.661,8181,7066,7067,7438,66916792,71.73 ,1.04,0.99,Y
Canada,1.5,0.899,52722,51988,52112,52274,39791403,65.03 ,1.07,1.01,Y
Poland,1.5,0.866,19912,18000,17736,18549,37749000,66.45 ,1.06,1.02,N
Malta,1.5,0.818,36989,33487,33642,34706,519562,64.32 ,1.07,1.08,Y
Serbia,1.4,0.778,10849,9230,8643,9574,6690887,65.93 ,1.07,1.02,Y
Croatia,1.4,0.791,20537,17685,16983,18402,3871833,64.78 ,1.05,1.00,Y
Finland,1.4,0.905,54351,53655,53703,53903,5528796,61.33 ,1.05,1.05,Y
Japan,1.4,0.848,35385,39313,39650,38116,124490000,58.33 ,1.11,0.98,N
Spain,1.4,0.824,31223,30104,30058,30462,47615034,66.49 ,1.07,1.04,Y
Luxembourg,1.4,0.792,132372,133590,133745,133236,645397,67.9 ,1.05,1.05,Y
Mauritius,1.3,0.729,11548,9106,8873,9842,1266334,69.48 ,1.03,1.00,Y
Portugal,1.3,0.759,26012,24568,24651,25077,10344802,65.5 ,1.06,0.97,Y
Greece,1.3,0.838,22594,20193,20571,21119,10432481,63.04 ,1.11,0.98,Y
Cyprus,1.3,0.808,33087,31552,32281,32307,918100,71.34 ,1.20,1.13,Y
Moldova,1.3,0.710,6342,5231,4468,5347,2597100,67.66 ,1.08,1.04,Y
Italy,1.3,0.791,36812,35658,35579,36016,58833079,64.47 ,1.01,0.97,Y
Bosnia and Herzegovina,1.2,0.718,8223,7143,7143,7503,3320954,70.6 ,1.07,1.01,N
Singapore,1.2,0.832,91100,72794,66822,76905,5453600,76.31 ,0.96,0.95,N
